gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
0,0.13114754098360656,2.4,66.24,aws-ec2,122,7.625,16,intel,d2.4xlarge,x86_64,aws,2059.6,High,compute
0,0.14754098360655737,2.4,132.48,aws-ec2,244,6.777777777777778,36,intel,d2.8xlarge,x86_64,aws,4489.5,10 Gigabit,compute
0,0.13114754098360656,2.4,16.56,aws-ec2,30.5,7.625,4,intel,d2.xlarge,x86_64,aws,515.2,Moderate,compute
0,0.125,3.1,23.98,aws-ec2,64,8,8,intel,d3.2xlarge,x86_64,aws,894.8,Up to 15 Gigabit,compute
0,0.125,3.1,47.95,aws-ec2,128,8,16,intel,d3.4xlarge,x86_64,aws,1790.7,Up to 15 Gigabit,compute
0,0.125,3.1,95.89,aws-ec2,256,8,32,intel,d3.8xlarge,x86_64,aws,3581.5,25 Gigabit,compute
0,0.125,3.1,11.98,aws-ec2,32,8,4,intel,d3.xlarge,x86_64,aws,448,Up to 15 Gigabit,compute
0,0.25,3.1,151.41,aws-ec2,192,4,48,intel,d3en.12xlarge,x86_64,aws,4282.5,75 Gigabit,compute
0,0.25,3.1,25.22,aws-ec2,32,4,8,intel,d3en.2xlarge,x86_64,aws,712.8,Up to 25 Gigabit,compute
0,0.25,3.1,50.47,aws-ec2,64,4,16,intel,d3en.4xlarge,x86_64,aws,1427.9,25 Gigabit,compute
0,0.25,3.1,75.7,aws-ec2,96,4,24,intel,d3en.6xlarge,x86_64,aws,2141.9,40 Gigabit,compute
0,0.25,3.1,100.94,aws-ec2,128,4,32,intel,d3en.8xlarge,x86_64,aws,2854.6,50 Gigabit,compute
0,0.25,3.1,12.62,aws-ec2,16,4,4,intel,d3en.xlarge,x86_64,aws,358.2,Up to 25 Gigabit,compute
,,,,,,,,,dc2.8xlarge,,aws,4177.5,,
,,,,,,,,,dc2.large,,aws,258.8,,
,,,,,,,,,ds2.8xlarge,,aws,4071.9,,
,,,,,,,,,ds2.xlarge,,aws,472,,
0,0.06557377049180328,2.3,316.8,aws-ec2,976,15.25,64,intel,f1.16xlarge,x86_64,aws,9224.8,25 Gigabit,compute
0,0.06557377049180328,2.3,39.6,aws-ec2,122,15.25,8,intel,f1.2xlarge,x86_64,aws,1153.5,Up to 10 Gigabit,compute
0,0.06557377049180328,2.3,79.2,aws-ec2,244,15.25,16,intel,f1.4xlarge,x86_64,aws,2305.9,Up to 10 Gigabit,compute
